# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles:u'
# Event count (approx.): 2989206917
#
# Overhead  Command    Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
# ........  .........  ....................  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.08%  proto_run  proto_run             [.] fleetbench::proto::Message8_M1::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.08%  proto_run  proto_run             [.] fleetbench::proto::Message6_M5_M8_M27::ByteSizeLong() const
     0.08%  proto_run  proto_run             [.] fleetbench::proto::Message5_M10_M16_M24_M36_M48_M54_M74_M77_M87_M90_M93_M95::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.08%  proto_run  proto_run             [.] fleetbench::proto::Message2_M4_M16_M28_M44_M61_M86_M91_M101::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.08%  proto_run  proto_run             [.] fleetbench::proto::Message7_M2_M19_M29_M38_M60_M65::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.07%  proto_run  proto_run             [.] fleetbench::proto::Message1_M10_M19_M42::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.07%  proto_run  proto_run             [.] unsigned char* google::protobuf::internal::WireFormatLite::WriteInt32ToArrayWithField<3>(google::protobuf::io::EpsCopyOutputStream*, int, unsigned char*)
     0.07%  proto_run  proto_run             [.] fleetbench::proto::Message7::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.07%  proto_run  proto_run             [.] absl::lts_20240116::string_view::data() const
     0.07%  proto_run  proto_run             [.] google::protobuf::RepeatedField<unsigned int>::Get(int) const
     0.07%  proto_run  proto_run             [.] fleetbench::proto::Message0_M9_M17_M24_M41_M63::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.07%  proto_run  proto_run             [.] fleetbench::proto::Message7_Set_1(fleetbench::proto::Message7*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
     0.07%  proto_run  proto_run             [.] fleetbench::proto::Message8_M1_M4_M15::ByteSizeLong() const
